Lake,Sample_date,Treatment,Replicate,tDOM_added,Nut_added,pH_day1,pH_priorToxinAnalysis,pH_day7,Sample_post_comments,Vol_filt_qPCR_mL,Vol_filt_Chl_mL,Vol_filt_PC_mL,Microcystin_ugL,PC_ugL,TN_mgL,TP_mgL,DOC_mgL,Chla_ugL,PO4_ugL,NH4_mgL,NO3_mgL,Sample_nut_comments
Maumee,10/11/2021,initial,1,none,none,8.17,7.32,NA,,30,100,100,0.11,93.86,0.574,0.017,1.905,1.977,8.71,0.0376,0.214,
Maumee,10/11/2021,initial,2,none,none,8.17,7.32,NA,,30,100,100,0.077,96.62,0.359,0.015,1.931,2.16,7.64,0.106,0.206,
Maumee,10/11/2021,initial,3,none,none,8.17,7.38,NA,,30,100,100,0.064,106.27,0.305,0.014,1.905,2.119,7.05,0.0286,0.193,
Maumee,10/18/2021,control,1,none,none,8.17,7.23,7.9,,30,50,50,0.086,141.65,0.31,0.018,1.801,25.5,0,0.0308,0.104,
Maumee,10/18/2021,control,2,none,none,8.17,7.29,8,,30,50,50,0.092,204.54,0.312,0.014,1.74,28.569,0,0.0162,0.0918,
Maumee,10/18/2021,control,3,none,none,8.17,7.36,7.98,,30,50,50,0.08,209.23,0.393,0.015,1.764,23.139,0,0.0162,0.121,
Maumee,10/18/2021,nutrients only,1,none,nutrients added,8.17,7.81,7.93,,30,50,50,0.068,209.23,6.615,0.301,1.742,34.236,269,5.99,0.164,
Maumee,10/18/2021,nutrients only,2,none,nutrients added,8.17,7.84,8.04,,30,50,50,0.089,125.1,7.127,0.293,1.708,51.472,254,6.28,0.158,
Maumee,10/18/2021,nutrients only,3,none,nutrients added,8.17,8.12,8.13,,30,50,50,0.105,117.1,6.829,0.301,1.692,47.576,255,6.22,0.162,
Maumee,10/18/2021,manure,1,manure,none,8.17,8.09,7.93,,30,50,50,0.091,95.85,2.19,0.152,3.419,45.569,83.6,1.49,0.0268,
Maumee,10/18/2021,manure,2,manure,none,8.17,7.97,7.85,,30,50,50,0.07,84.27,2.161,0.15,3.439,37.777,81.1,1.38,0.0345,
Maumee,10/18/2021,manure,3,manure,none,8.17,7.85,7.86,,30,50,50,0.093,122.34,2.048,0.138,3.534,35.416,67.9,1.38,0.0293,
Maumee,10/18/2021,crop,1,crop,none,8.17,7.85,8.15,,30,50,50,0.11,90.61,0.663,0.117,2.331,97.985,44.4,0.184,0.0347,
Maumee,10/18/2021,crop,2,crop,none,8.17,7.91,7.99,,30,50,50,0.125,65.78,0.712,0.133,2.571,56.312,86.2,0.262,0.0391,
Maumee,10/18/2021,crop,3,crop,none,8.17,7.95,7.87,,30,50,50,0.085,152.68,0.541,0.144,2.647,113.332,55,0.103,0.0351,
Maumee,10/18/2021,wetland,1,wetland,none,8.17,8.96,7.92,,30,50,50,0.144,65.24,1.237,0.029,5.522,25.146,6.88,0.581,0.145,
Maumee,10/18/2021,wetland,2,wetland,none,8.17,7.9,7.94,,30,50,50,0.092,46.07,1.365,0.034,5.583,23.729,7.3,0.647,0.143,
Maumee,10/18/2021,wetland,3,wetland,none,8.17,7.69,7.89,,30,50,50,0.077,128.13,1.45,0.036,5.544,24.555,6.38,0.692,0.148,
Maumee,10/18/2021,manure + nutrients,1,manure,nutrients added,8.17,7.78,7.85,,30,50,50,0.085,182.74,8.465,0.441,3.371,57.965,276,7.14,0.027,
Maumee,10/18/2021,manure + nutrients,2,manure,nutrients added,8.17,8.02,7.96,,30,50,50,0.085,125.1,6.7,0.433,3.12,107.43,339,7.32,0.0312,
Maumee,10/18/2021,manure + nutrients,3,manure,nutrients added,8.17,8.01,8.05,,30,50,50,0.071,49.24,7.924,0.442,3.163,110.971,255,6.87,0.0285,
Maumee,10/18/2021,crop + nutrients,1,crop,nutrients added,8.17,8.76,8.36,,30,50,50,0.18,175.02,7.241,0.41,2.725,218.401,229,5.54,0.135,
Maumee,10/18/2021,crop + nutrients,2,crop,nutrients added,8.17,8.03,7.95,,30,50,50,0.065,171.17,7.227,0.409,2.609,84.999,323,6.11,0.128,
Maumee,10/18/2021,crop + nutrients,3,crop,nutrients added,8.17,8.65,7.72,,30,50,50,0.156,106.34,6.572,0.41,2.549,29.514,373,6.45,0.0895,
Maumee,10/18/2021,wetland + nutrients,1,wetland,nutrients added,8.17,9.2,7.9,,30,50,50,0.133,187.72,7.867,0.315,5.648,38.486,242,6.73,0.154,
Maumee,10/18/2021,wetland + nutrients,2,wetland,nutrients added,8.17,8.84,7.94,,30,50,50,0.095,193.5,7.625,0.323,5.534,50.645,251,6.73,0.155,
Maumee,10/18/2021,wetland + nutrients,3,wetland,nutrients added,8.17,8.47,8.61,post sample much more green than the 2 other reps,30,50,50,0.095,168.68,7.483,0.281,5.87,324.65,6.35,5.41,0.148,
Grand,10/15/2021,initial,1,none,none,,7.35,NA,,,50,50,34.633,449.22,2.901,0.296,7.645,140.355,25.2,0.00647,0.0419,
Grand,10/15/2021,initial,2,none,none,,7.38,NA,,,50,50,41.764,367.87,2.759,0.285,7.684,151.077,28.5,0.0061,0.0403,
Grand,10/15/2021,initial,3,none,none,,7.38,NA,,,50,50,38.37,444.25,2.83,0.281,7.745,114.733,24.5,0.0395,0.0423,
Grand,10/22/2021,control,1,none,none,,9.23,9.27,,25,50,50,29.458,259.97,3.428,0.269,7.016,120.861,6.64,0.0378,0.0273,
Grand,10/22/2021,control,2,none,none,,9.04,9.32,,15,50,50,39.212,215.02,3.214,0.276,6.868,62.672,5.69,0.00858,0.0296,
Grand,10/22/2021,control,3,none,none,,8.93,9.36,,15,50,50,34.723,220.27,3.342,0.267,7.145,97.831,5.66,0,0.0288,
Grand,10/22/2021,nutrients only,1,none,nutrients added,,10.55,10.78,,15,50,50,66.751,2012.65,6.743,0.491,8.964,373.305,3.84,0.383,0.0268,
Grand,10/22/2021,nutrients only,2,none,nutrients added,,10.34,10.73,,15,50,50,41.242,2074.15,6.174,0.535,7.913,313.849,4.27,0.248,0.0276,
Grand,10/22/2021,nutrients only,3,none,nutrients added,,10.47,10.81,,15,50,50,58.354,2343.23,3.954,0.445,7.206,289.522,5.07,0.742,0.0269,
Grand,10/22/2021,manure,1,manure,none,,8.8,9.14,,15,50,50,57.572,411.42,4.566,0.382,7.838,290.457,5.68,0.0288,0.0275,
Grand,10/22/2021,manure,2,manure,none,,9.03,9.34,,15,50,50,55.116,311.86,4.367,0.396,7.789,298.254,5.46,0.0354,0.0265,
Grand,10/22/2021,manure,3,manure,none,,9.02,9.02,,15,50,50,69.475,298.34,3.954,0.345,7.911,149.563,4.68,0,0.0268,
Grand,10/22/2021,crop,1,crop,none,,9.18,9.15,,15,50,50,34.817,316.53,3.229,0.382,7.243,58.774,48.6,0.0197,0.0272,
Grand,10/22/2021,crop,2,crop,none,,8.57,9.17,,10,50,50,33.23,233.78,3.2,0.387,7.385,123.785,38.9,0.0278,0.027,
Grand,10/22/2021,crop,3,crop,none,,8.99,9.23,,15,50,50,37.598,162.62,3.428,0.425,7.268,111.148,44.3,0,0.0348,
Grand,10/22/2021,wetland,1,wetland,none,,9.34,9.22,,15,50,50,40.453,450.31,3.784,0.259,9.887,169.596,7.27,0,0.0417,
Grand,10/22/2021,wetland,2,wetland,none,,9.24,9.3,,15,50,50,37.026,318.47,3.613,0.263,9.915,151.077,6.53,0.025,0.0341,
Grand,10/22/2021,wetland,3,wetland,none,,8.91,9.18,,15,50,50,43.881,256.39,3.542,0.247,10.301,194.125,6.26,0.0332,0.0258,
Grand,10/22/2021,manure + nutrients,1,manure,nutrients added,,10.59,10.89,,15,50,50,77.863,2111.98,7.312,0.589,9.501,257.318,4.56,0.0233,0.0273,
Grand,10/22/2021,manure + nutrients,2,manure,nutrients added,,10.23,10.8,,15,50,50,73.393,1601.34,7.554,0.627,10.141,151.331,3.87,0.0134,0.0274,
Grand,10/22/2021,manure + nutrients,3,manure,nutrients added,,10.39,10.76,,15,50,50,96.681,1368.72,8.323,0.593,10.668,521.934,4.84,0.0471,0.0357,
Grand,10/22/2021,crop + nutrients,1,crop,nutrients added,,9.94,10.77,,10,50,50,71.83,1796.28,7.27,0.629,9.106,335.293,4.87,0.0244,0.0272,
Grand,10/22/2021,crop + nutrients,2,crop,nutrients added,,10.44,10.8,,10,50,50,99.637,1574.18,7.298,0.633,9.652,389.021,4.36,0.0263,0.0358,
Grand,10/22/2021,crop + nutrients,3,crop,nutrients added,,10.18,10.74,,10,50,50,91.572,1503.93,8.195,0.71,8.812,316.541,5.23,0.0254,0.0343,
Grand,10/22/2021,wetland + nutrients,1,wetland,nutrients added,,10.42,10.81,,15,50,50,56.623,1832.98,7.753,0.533,11.336,314.824,NA,0.0414,0.0282,PO4 sample suspect abnormally high (21.9)
Grand,10/22/2021,wetland + nutrients,2,wetland,nutrients added,,10.34,10.71,,15,50,50,86.723,1960.46,7.07,0.466,11.947,431.793,4.77,0.0269,0.0208,
Grand,10/22/2021,wetland + nutrients,3,wetland,nutrients added,,10.32,10.85,,5,50,50,63.104,1715.48,7.455,0.529,12.257,420.005,3.07,0.0302,0.0224,
Sandusky,10/13/2021,initial,1,none,none,,NA,NA,,,100,100,0.933,47.93,0.78,0.077,3.789,35.416,6.27,0.00282,0.229,
Sandusky,10/13/2021,initial,2,none,none,,NA,NA,,,100,100,0.919,43.52,0.702,0.051,3.909,34.236,5.27,0.0247,0.071,
Sandusky,10/13/2021,initial,3,none,none,,NA,NA,,,100,100,0.871,33.86,0.581,0.073,3.806,35.416,5.34,0.0216,0.0196,
Sandusky,10/20/2021,control,1,none,none,,NA,8.3,"chl-a sample missing, value averaged from other two reps",,50,50,2.013,32.69,0.879,0.059,3.9,45.628,NA,0,0.0252,"PO4 sample suspect abnormally low (0.484, other reps were 4.75)"
Sandusky,10/20/2021,control,2,none,none,,NA,8.32,,,50,50,1.68,32.69,0.881,0.057,3.988,46.277,4.75,0.0065,0.0377,
Sandusky,10/20/2021,control,3,none,none,,NA,8.49,,,50,50,1.557,35.31,0.659,0.055,3.748,44.979,4.78,0.0184,0.0262,
Sandusky,10/20/2021,nutrients only,1,none,nutrients added,,NA,10.17,,,50,50,2.257,641.32,6.259,0.282,4.821,350.622,5.27,2.19,0.0261,
Sandusky,10/20/2021,nutrients only,2,none,nutrients added,,NA,9.46,,,50,50,2.038,654.32,6.43,0.253,4.535,355.934,4.24,2.79,0.0275,
Sandusky,10/20/2021,nutrients only,3,none,nutrients added,,NA,9.6,"DOC sample suspect for being too high (DOC = 7.359 mg/L), sample looks switched with wetland 3 DOC sample (4.402)",,50,50,1.592,526.3,6.316,0.26,4.402,352.392,3.61,2.76,0.0272,
Sandusky,10/20/2021,manure,1,manure,none,,NA,8.86,,,50,50,2.495,158.74,1.72,0.143,5.175,86.77,4.4,0.0672,0.0325,
Sandusky,10/20/2021,manure,2,manure,none,,NA,8.77,,,50,50,2.618,60.27,1.749,0.126,4.752,95.034,3.11,0.412,0.0493,
Sandusky,10/20/2021,manure,3,manure,none,,NA,8.94,,,50,50,2.335,16.41,1.848,0.1,4.762,70.242,3.64,0.0414,0.0445,
Sandusky,10/20/2021,crop,1,crop,none,,NA,8.64,,,50,50,1.317,81.79,1.322,0.195,4.684,75.555,6.85,0.0737,0.0257,
Sandusky,10/20/2021,crop,2,crop,none,,NA,8.45,,,50,50,1.597,70.48,1.507,0.152,4.568,66.111,3.45,0.0294,0.0274,
Sandusky,10/20/2021,crop,3,crop,none,,NA,8.38,,,50,50,1.387,122.34,1.294,0.166,4.508,48.402,7.43,0.0238,0.0263,
Sandusky,10/20/2021,wetland,1,wetland,none,,NA,8.61,,,50,50,1.427,239,1.365,0.065,7.463,60.798,3.04,0.128,0.0339,
Sandusky,10/20/2021,wetland,2,wetland,none,,NA,8.56,,,50,50,2.035,97.79,1.35,0.073,7.654,66.111,3.7,0.0189,0.0234,
Sandusky,10/20/2021,wetland,3,wetland,none,,NA,8.75,"DOC sample suspect for being too low (DOC = 4.402 mg/L), sample looks switched with high N:P 3 DOC sample (7.359)",,50,50,1.623,65.24,1.365,0.066,7.359,83.228,3.7,0.0315,0.0255,
Sandusky,10/20/2021,manure + nutrients,1,manure,nutrients added,,NA,8.63,,,50,50,2.884,177.77,8.422,0.401,4.785,160.318,153,5.8,0.153,
Sandusky,10/20/2021,manure + nutrients,2,manure,nutrients added,,NA,8.54,,,50,50,1.986,93.36,8.308,0.334,4.694,136.353,124,5.72,0.0991,
Sandusky,10/20/2021,manure + nutrients,3,manure,nutrients added,,NA,8.63,,,50,50,1.974,98.61,8.138,0.379,4.82,119.825,178,5.95,0.132,
Sandusky,10/20/2021,crop + nutrients,1,crop,nutrients added,,NA,10.11,,,50,50,0.459,896.85,6.245,0.346,4.873,403.746,2.93,1.41,0.0269,
Sandusky,10/20/2021,crop + nutrients,2,crop,nutrients added,,NA,9.11,,,50,50,0.199,233,6.729,0.398,4.356,235.519,116,3.76,0.104,
Sandusky,10/20/2021,crop + nutrients,3,crop,nutrients added,,NA,9.56,,,50,50,0.423,758.88,4.367,0.362,4.896,409.059,6.08,2.28,0.0373,
Sandusky,10/20/2021,wetland + nutrients,1,wetland,nutrients added,,NA,9.19,,,50,50,1.476,345.56,7.867,0.292,7.234,191.248,3.93,3.94,0.067,
Sandusky,10/20/2021,wetland + nutrients,2,wetland,nutrients added,,NA,9.09,,,50,50,5.063,347.5,5.576,0.278,7.225,139.894,2.85,4.17,0.0566,
Sandusky,10/20/2021,wetland + nutrients,3,wetland,nutrients added,,NA,9.89,,,50,50,1.7,572.09,6.629,0.289,8.059,384.267,3.28,2.27,0.0264,
