"","Lake","Treatment","avgTP_mgL","sdTP_mgL"
"1","Maumee","control",0.0156666666666667,0.00208166599946613
"2","Maumee","nutrients only",0.298333333333333,0.00461880215351701
"3","Maumee","manure",0.146666666666667,0.00757187779440036
"4","Maumee","crop",0.131333333333333,0.0135769412362775
"5","Maumee","wetland",0.033,0.00360555127546399
"6","Maumee","manure + nutrients",0.438666666666667,0.00493288286231625
"7","Maumee","crop + nutrients",0.409666666666667,0.000577350269189626
"8","Maumee","wetland + nutrients",0.306333333333333,0.022300971578237
"9","Sandusky","control",0.057,0.002
"10","Sandusky","nutrients only",0.265,0.0151327459504215
"11","Sandusky","manure",0.123,0.0216564078277077
"12","Sandusky","crop",0.171,0.0219317121994613
"13","Sandusky","wetland",0.068,0.00435889894354067
"14","Sandusky","manure + nutrients",0.371333333333333,0.0341516227042484
"15","Sandusky","crop + nutrients",0.368666666666667,0.0266333124739176
"16","Sandusky","wetland + nutrients",0.286333333333333,0.00737111479583197
"17","Grand","control",0.270666666666667,0.00472581562625261
"18","Grand","nutrients only",0.490333333333333,0.0450037035513005
"19","Grand","manure",0.374333333333333,0.0263502055652956
"20","Grand","crop",0.398,0.0235159520326097
"21","Grand","wetland",0.256333333333333,0.00832666399786454
"22","Grand","manure + nutrients",0.603,0.0208806130178211
"23","Grand","crop + nutrients",0.657333333333333,0.0456544995956952
"24","Grand","wetland + nutrients",0.509333333333333,0.0375810235801705
